date,high,low,open,close,volume
2020-05-19T00:00:00+0000,186.6,183.49,185.03,183.63,26799116.0
2020-05-20T00:00:00+0000,185.85,183.94,184.81,185.66,31261334.0
2020-05-21T00:00:00+0000,186.67,183.29,185.4,183.43,29032741.0
2020-05-22T00:00:00+0000,184.46,182.54,183.19,183.51,20826898.0
2020-05-26T00:00:00+0000,186.5,181.1,186.34,181.57,36073609.0
2020-05-27T00:00:00+0000,181.9877,176.6,180.2,181.81,39517146.0
2020-05-28T00:00:00+0000,184.1474,180.38,180.74,181.4,33831824.0
2020-05-29T00:00:00+0000,184.27,180.41,182.73,183.25,42146720.0
2020-06-01T00:00:00+0000,183.0,181.46,182.54,182.83,22668821.0
2020-06-02T00:00:00+0000,185.0,181.35,184.25,184.91,30794585.0
2020-06-03T00:00:00+0000,185.94,183.58,184.815,185.36,27236011.0
2020-06-04T00:00:00+0000,185.84,182.3,184.3,182.92,28659255.0
2020-06-05T00:00:00+0000,187.73,182.01,182.62,187.2,39606904.0
2020-06-08T00:00:00+0000,188.55,184.44,185.94,188.36,33211590.0
2020-06-09T00:00:00+0000,190.7,187.2605,188.0,189.8,29674985.0
2020-06-10T00:00:00+0000,198.52,191.01,191.125,196.84,43872329.0
2020-06-11T00:00:00+0000,195.76,186.07,193.13,186.27,52854672.0
2020-06-12T00:00:00+0000,191.72,185.18,190.54,187.74,43373587.0
2020-06-15T00:00:00+0000,190.82,184.01,184.58,188.94,32610119.0
2020-06-16T00:00:00+0000,195.58,191.46,192.89,193.57,42556656.0
2020-06-17T00:00:00+0000,196.32,193.69,195.03,194.24,25687822.0
2020-06-18T00:00:00+0000,196.49,194.0,194.0,196.32,23061648.0
2020-06-19T00:00:00+0000,199.29,194.37,198.59,195.15,44441141.0
2020-06-22T00:00:00+0000,200.76,195.2301,195.79,200.57,32548040.0
2020-06-23T00:00:00+0000,203.95,201.425,202.09,201.91,30794806.0
2020-06-24T00:00:00+0000,203.25,196.56,201.6043,197.84,36098536.0
2020-06-25T00:00:00+0000,200.61,195.4675,197.8,200.34,26811784.0
2020-06-26T00:00:00+0000,199.89,194.88,199.73,196.33,53645610.0
2020-06-29T00:00:00+0000,198.53,193.55,195.78,198.44,26012823.0
2020-06-30T00:00:00+0000,204.4,197.74,197.8816,203.51,34114256.0
2020-07-01T00:00:00+0000,206.35,201.77,203.14,204.7,30187999.0
2020-07-02T00:00:00+0000,208.02,205.0,205.68,206.26,29182935.0
2020-07-06T00:00:00+0000,211.13,208.09,208.83,210.7,30682300.0
2020-07-07T00:00:00+0000,214.67,207.99,210.45,208.25,32994800.0
2020-07-08T00:00:00+0000,213.26,208.69,210.07,212.83,32678800.0
2020-07-09T00:00:00+0000,216.38,211.47,216.33,214.32,32384800.0
2020-07-10T00:00:00+0000,214.08,211.08,213.62,213.67,25793700.0
2020-07-13T00:00:00+0000,215.8,206.5,214.48,207.07,36326100.0
2020-07-14T00:00:00+0000,208.85,202.03,206.13,208.35,36629800.0
2020-07-15T00:00:00+0000,211.33,205.03,209.56,208.04,31439400.0
2020-07-16T00:00:00+0000,205.7,202.31,205.4,203.92,29654700.0
2020-07-17T00:00:00+0000,205.04,201.39,204.47,202.88,31152000.0
2020-07-20T00:00:00+0000,212.3,203.01,205.0,211.6,36386100.0
2020-07-21T00:00:00+0000,213.94,208.03,213.66,208.75,37702500.0
2020-07-22T00:00:00+0000,212.3,208.39,209.2,211.75,41974100.0
2020-07-23T00:00:00+0000,210.92,202.15,207.19,202.54,67457035.0
2020-07-24T00:00:00+0000,202.86,197.51,200.42,201.3,39826989.0
2020-07-27T00:00:00+0000,203.97,200.86,201.47,203.85,30160867.0
2020-07-28T00:00:00+0000,204.7,201.74,203.61,202.02,23251388.0
2020-07-29T00:00:00+0000,204.65,202.01,202.5,204.06,19632602.0
2020-07-30T00:00:00+0000,204.46,199.57,201.0,203.9,25079596.0
2020-07-31T00:00:00+0000,205.1,199.01,204.4,205.01,51247969.0
2020-08-03T00:00:00+0000,217.64,210.44,211.52,216.54,78983009.0
2020-08-04T00:00:00+0000,214.77,210.31,214.17,213.29,49280056.0
2020-08-05T00:00:00+0000,215.0,211.57,214.9,212.94,28858621.0
2020-08-06T00:00:00+0000,216.3705,211.55,212.34,216.35,32656843.0
2020-08-07T00:00:00+0000,215.7,210.93,214.85,212.48,27820421.0
2020-08-10T00:00:00+0000,211.88,206.35,211.67,208.25,36716462.0
2020-08-11T00:00:00+0000,207.65,203.14,207.155,203.38,36195762.0
2020-08-12T00:00:00+0000,210.28,204.75,205.29,209.19,27987943.0
2020-08-13T00:00:00+0000,211.35,208.15,209.44,208.7,22499064.0
2020-08-14T00:00:00+0000,209.59,207.51,208.76,208.9,17846752.0
2020-08-17T00:00:00+0000,211.1874,208.915,209.6,210.28,20063496.0
2020-08-18T00:00:00+0000,212.36,209.21,210.53,211.49,21279183.0
2020-08-19T00:00:00+0000,212.1,209.25,211.49,209.7,27352199.0
2020-08-20T00:00:00+0000,215.0,208.91,209.54,214.58,26728802.0
2020-08-21T00:00:00+0000,216.25,212.85,213.86,213.02,35714336.0
